Id,Id2,Geography,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Non_NonHWhite
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",4189,3733,1754,1628,0,162,0,15,174,19,155,456,319,59,0,0,0,78,0,0,0,0.581284316
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",7083,5512,1734,3545,16,148,0,10,59,0,59,1571,1464,0,0,0,0,31,76,38,38,0.755188479
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",2502,1844,744,800,0,239,0,0,61,17,44,658,355,39,6,9,18,208,23,23,0,0.70263789
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",6213,5249,2730,1715,5,741,0,0,58,0,58,964,699,91,0,0,0,148,26,20,6,0.560598745
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",4730,4276,3112,615,0,385,0,35,129,37,92,454,315,45,0,10,0,58,26,12,14,0.342071882
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",3831,3640,2156,1190,0,100,0,0,194,0,194,191,174,0,0,0,0,17,0,0,0,0.437222657
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",3690,3112,1918,492,0,638,0,0,64,24,40,578,205,103,0,0,0,246,24,0,24,0.480216802
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",2228,1854,1254,178,0,326,0,0,96,39,57,374,323,39,0,0,0,12,0,0,0,0.437163375
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",6513,4798,2642,1859,0,106,0,16,175,0,175,1715,1445,51,4,0,0,71,144,0,144,0.594349762
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",3946,2292,1357,624,0,200,0,13,98,0,98,1654,1208,31,0,0,0,399,16,0,16,0.656107451
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",5274,2620,1093,1077,0,244,0,36,170,0,170,2654,1885,0,0,0,0,688,81,0,81,0.792756921
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",3990,3501,1410,1129,0,808,0,31,123,0,123,489,387,8,0,11,0,83,0,0,0,0.646616541
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",6255,5673,4112,286,0,1170,0,0,105,0,105,582,424,0,0,0,0,158,0,0,0,0.342605915
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",5239,4887,4016,280,37,498,0,10,46,14,32,352,352,0,0,0,0,0,0,0,0,0.233441496
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",4651,3767,2417,543,0,774,0,0,33,0,33,884,622,0,0,7,0,245,10,10,0,0.480326811
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",4294,3335,1886,753,0,600,0,43,53,18,35,959,604,0,107,0,0,248,0,0,0,0.560782487
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",6004,4084,1495,1025,0,1191,6,15,352,32,320,1920,1119,230,0,0,0,571,0,0,0,0.750999334
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",6697,5714,3657,346,44,1418,0,75,174,66,108,983,467,75,3,83,0,222,133,46,87,0.453934598
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",4102,3041,1340,325,0,1220,0,62,94,34,60,1061,684,17,0,0,0,259,101,0,101,0.673330083
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",1893,1625,1035,153,78,280,0,0,79,68,11,268,209,0,6,0,0,37,16,16,0,0.453248811
