Id,Id2,Geography,Estimate; Total:,Estimate; Total: - No schooling completed,Estimate; Total: - Nursery school,Estimate; Total: - Kindergarten,Estimate; Total: - 1st grade,Estimate; Total: - 2nd grade,Estimate; Total: - 3rd grade,Estimate; Total: - 4th grade,Estimate; Total: - 5th grade,Estimate; Total: - 6th grade,Estimate; Total: - 7th grade,Estimate; Total: - 8th grade,Estimate; Total: - 9th grade,Estimate; Total: - 10th grade,Estimate; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Estimate; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Ed_LtHS
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",2949,0,0,0,0,0,0,0,0,0,17,36,0,7,53,16,545,89,177,760,111,659,346,49,84,0.043743642
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",4563,228,0,0,0,0,36,0,0,154,0,102,99,60,107,120,915,95,307,548,334,969,374,29,86,0.198553583
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",1781,18,0,0,0,0,30,0,0,69,0,27,0,93,52,25,367,15,111,259,111,346,145,61,52,0.176305446
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",4740,158,0,0,5,11,60,0,55,153,38,103,32,174,111,183,850,171,331,612,161,923,414,109,86,0.228481013
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",2431,24,0,0,0,0,0,0,0,13,0,27,0,14,0,0,317,22,34,201,125,762,706,118,68,0.032085561
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",2919,4,0,1,0,0,13,0,0,0,0,0,0,14,42,145,267,19,229,634,114,830,497,58,52,0.075025694
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",2138,248,0,0,0,0,0,12,0,0,62,26,20,63,8,0,155,22,103,297,96,716,236,43,31,0.205332086
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",1454,134,0,0,0,0,0,0,0,15,25,24,10,65,38,47,319,12,51,80,28,340,160,70,36,0.246217331
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",4822,136,0,0,0,0,122,61,0,40,0,14,59,62,42,54,945,22,173,599,220,1361,677,114,121,0.122355869
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",2691,31,0,0,26,29,45,14,9,185,34,35,24,1,12,70,470,99,93,337,62,638,393,37,47,0.19137867
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",3456,48,0,44,0,0,41,33,22,207,32,119,123,20,42,76,623,88,163,290,94,894,377,67,53,0.233506944
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",2627,102,0,0,17,0,0,6,1,0,83,0,11,115,78,0,421,55,77,500,140,672,299,24,26,0.157213552
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",4166,125,0,0,0,30,30,0,22,9,0,58,56,29,48,110,654,28,198,516,160,1414,540,100,39,0.124099856
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",3470,32,0,0,18,0,0,15,12,38,0,22,9,47,64,64,522,37,204,484,158,968,397,236,143,0.092507205
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",3339,178,14,0,5,0,0,0,0,12,6,43,36,104,9,89,609,79,98,312,116,929,378,226,96,0.148547469
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",2907,37,0,0,0,15,0,0,10,23,0,63,31,23,16,64,560,53,133,428,120,879,361,62,29,0.097007224
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",4032,230,0,0,61,55,29,43,20,105,35,123,165,38,41,112,1014,145,35,418,202,785,295,65,16,0.262152778
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",4145,282,0,0,0,13,0,0,21,140,21,38,51,194,67,112,744,34,168,659,118,943,337,139,64,0.226537998
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",2612,47,0,0,0,0,0,20,37,74,72,87,17,4,47,9,486,14,105,280,149,790,296,14,64,0.158499234
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",1333,19,0,0,0,0,0,38,4,5,24,17,0,5,0,31,125,45,71,281,73,286,241,31,37,0.107276819
1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",5033,459,0,0,0,103,42,57,15,16,45,108,40,6,89,371,997,75,254,552,410,1135,200,12,47,0.268428373
1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",3333,207,0,0,0,0,0,0,31,40,0,0,57,26,69,134,534,9,177,607,208,511,501,161,61,0.169216922
1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",5207,361,0,0,0,114,0,16,12,13,92,118,27,55,0,139,1065,56,146,608,258,1447,423,211,46,0.181870559
1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois",3056,128,0,0,0,0,0,14,34,51,0,66,45,66,60,77,638,37,277,244,179,830,288,2,20,0.177028796
1400000US17031020902,17031020902,"Census Tract 209.02, Cook County, Illinois",3005,156,0,0,0,0,0,6,0,26,0,15,0,5,21,33,915,261,112,293,202,734,178,48,0,0.08718802
1400000US17031030101,17031030101,"Census Tract 301.01, Cook County, Illinois",3190,58,0,0,0,0,0,14,0,100,0,56,83,22,0,2,267,46,36,586,149,1081,551,67,72,0.105015674
1400000US17031030102,17031030102,"Census Tract 301.02, Cook County, Illinois",2598,28,0,0,0,0,0,0,0,0,0,7,35,9,8,96,312,71,140,501,219,708,366,53,45,0.070438799
1400000US17031030103,17031030103,"Census Tract 301.03, Cook County, Illinois",1554,0,0,0,0,0,0,0,0,35,0,112,35,38,0,0,257,0,14,138,69,523,264,0,69,0.141570142
1400000US17031030104,17031030104,"Census Tract 301.04, Cook County, Illinois",1606,41,0,0,0,0,0,13,0,15,0,8,0,0,24,46,308,0,17,326,163,504,106,9,26,0.091531756
1400000US17031030200,17031030200,"Census Tract 302, Cook County, Illinois",3865,25,0,0,0,0,0,0,0,0,0,43,1,12,44,16,411,25,146,426,179,1225,924,203,185,0.036481242
1400000US17031030300,17031030300,"Census Tract 303, Cook County, Illinois",2148,50,0,0,0,15,0,0,28,103,6,28,42,39,20,40,333,45,83,387,151,435,273,31,39,0.172718808
1400000US17031030400,17031030400,"Census Tract 304, Cook County, Illinois",1896,58,0,0,0,0,14,14,0,29,21,45,7,31,0,40,293,15,90,236,49,636,228,67,23,0.136603376
1400000US17031030500,17031030500,"Census Tract 305, Cook County, Illinois",4842,232,0,0,0,13,5,0,0,138,50,58,14,76,49,65,585,23,118,397,149,1504,1091,138,137,0.14456836
1400000US17031030601,17031030601,"Census Tract 306.01, Cook County, Illinois",2806,25,0,0,7,0,0,0,7,8,18,59,7,13,60,78,515,76,119,497,102,823,282,55,55,0.100498931
1400000US17031030603,17031030603,"Census Tract 306.03, Cook County, Illinois",1375,7,0,0,0,0,0,0,0,9,0,30,0,0,0,19,198,55,189,213,24,343,227,61,0,0.047272727
1400000US17031030604,17031030604,"Census Tract 306.04, Cook County, Illinois",2559,8,0,0,0,0,0,0,0,0,0,1,63,25,0,36,408,60,80,394,81,737,426,139,101,0.051973427
1400000US17031030701,17031030701,"Census Tract 307.01, Cook County, Illinois",1362,4,0,0,0,0,0,0,0,0,0,8,0,42,39,4,157,15,82,185,144,408,196,65,13,0.071218796
1400000US17031030702,17031030702,"Census Tract 307.02, Cook County, Illinois",1331,0,0,0,0,0,0,0,0,0,0,0,0,26,0,6,165,10,99,214,31,440,225,62,53,0.024042074
1400000US17031030703,17031030703,"Census Tract 307.03, Cook County, Illinois",2212,57,0,0,0,0,0,22,0,48,0,0,0,17,5,19,196,0,105,274,143,851,351,107,17,0.075949367
1400000US17031030706,17031030706,"Census Tract 307.06, Cook County, Illinois",3073,41,0,0,0,0,0,0,0,22,0,149,0,7,18,0,300,60,144,513,243,605,711,141,119,0.077123332
1400000US17031030800,17031030800,"Census Tract 308, Cook County, Illinois",3512,103,0,0,0,0,25,24,0,49,2,28,33,5,8,17,266,41,74,258,149,1481,669,248,32,0.083712984
1400000US17031030900,17031030900,"Census Tract 309, Cook County, Illinois",2649,35,0,0,0,8,8,0,0,21,0,42,47,0,9,65,183,8,78,442,130,977,453,119,24,0.088712722
1400000US17031031000,17031031000,"Census Tract 310, Cook County, Illinois",2904,56,0,0,0,11,0,0,13,2,0,16,2,52,22,9,195,7,153,245,75,1130,631,156,129,0.063016529
1400000US17031031100,17031031100,"Census Tract 311, Cook County, Illinois",3575,12,0,0,13,0,0,14,0,0,0,11,93,14,32,13,428,114,36,328,152,1505,554,187,69,0.056503497
1400000US17031031200,17031031200,"Census Tract 312, Cook County, Illinois",3807,95,0,0,52,0,15,0,46,116,20,95,89,130,82,72,891,192,185,412,134,651,475,23,32,0.213291305
1400000US17031031300,17031031300,"Census Tract 313, Cook County, Illinois",6239,74,0,0,0,0,18,14,92,69,65,25,177,110,32,131,991,60,149,998,379,1518,839,315,183,0.129347652
1400000US17031031400,17031031400,"Census Tract 314, Cook County, Illinois",4620,0,0,0,0,9,0,0,7,14,7,21,54,60,38,16,356,5,105,307,134,1806,1065,487,129,0.048917749
1400000US17031031501,17031031501,"Census Tract 315.01, Cook County, Illinois",2821,60,0,0,0,0,12,22,30,18,46,38,27,68,55,39,469,70,190,330,189,793,275,40,50,0.147110954
1400000US17031031502,17031031502,"Census Tract 315.02, Cook County, Illinois",3292,20,0,0,0,46,0,0,10,22,0,72,46,27,23,66,632,115,166,666,207,855,257,62,0,0.100850547
1400000US17031031700,17031031700,"Census Tract 317, Cook County, Illinois",5235,14,0,0,0,0,0,0,4,95,13,20,20,107,153,82,636,150,111,726,220,1816,688,301,79,0.09703916
1400000US17031031800,17031031800,"Census Tract 318, Cook County, Illinois",1393,24,0,0,6,0,0,0,0,71,0,8,0,0,23,21,128,0,28,143,0,589,229,105,18,0.109834889
1400000US17031031900,17031031900,"Census Tract 319, Cook County, Illinois",1929,10,0,0,0,0,0,0,0,2,0,39,9,31,36,21,146,39,54,166,75,843,361,70,27,0.076723691
1400000US17031032100,17031032100,"Census Tract 321, Cook County, Illinois",5321,16,0,0,0,0,0,0,0,63,0,203,52,65,39,62,575,39,141,439,193,2043,850,425,116,0.093967299
1400000US17031040100,17031040100,"Census Tract 401, Cook County, Illinois",2952,60,0,0,0,11,0,0,0,21,0,82,50,49,68,54,419,73,78,428,104,897,379,71,108,0.133807588
1400000US17031040201,17031040201,"Census Tract 402.01, Cook County, Illinois",4729,173,0,0,0,0,0,0,0,116,16,36,41,42,41,152,512,125,176,407,194,2001,493,147,57,0.130471558
1400000US17031040202,17031040202,"Census Tract 402.02, Cook County, Illinois",5042,279,0,0,0,4,20,11,18,115,54,260,49,88,26,110,900,76,157,723,302,1418,345,38,49,0.20507735
1400000US17031040300,17031040300,"Census Tract 403, Cook County, Illinois",2153,70,0,2,0,0,0,0,11,42,6,0,7,11,45,8,354,17,80,280,124,550,270,233,43,0.093822573
1400000US17031040401,17031040401,"Census Tract 404.01, Cook County, Illinois",2173,0,26,0,0,27,26,10,10,17,0,22,28,0,70,0,239,25,78,212,59,708,514,63,39,0.108605614
1400000US17031040402,17031040402,"Census Tract 404.02, Cook County, Illinois",3788,20,0,0,0,0,0,0,0,21,0,21,0,61,0,55,309,10,36,403,134,1463,881,138,236,0.046990496
